final,midterm,
2.56,0.7,
2.78,0.97,
6.35,5.43,
5.99,4.99,
7.67,7.09,
7.55,6.93,
8.43,8.03,
3.67,2.09,
8.63,8.28,
9.44,9.3,
7.12,6.4,
8.14,7.67,
7.22,6.52,
3.31,1.64,
5.22,4.02,
9.38,9.22,
9.07,8.84,
3.1,1.37,
6.95,6.18,
6.75,5.94,
9.86,9.82,
5.03,3.78,
3.23,1.53,
7.27,6.58,
2.15,0.19,
4.48,3.1,
2.8,1,
5.31,4.14,
3.51,1.89,
5.02,3.77,
5.31,4.13,
9.91,9.88,
6.48,5.6,
3.1,1.37,
2.59,0.74,
5.15,3.94,
9.96,9.95,
5.97,4.96,
5.54,4.42,
8.38,7.97,
8.45,8.06,
5.16,3.95,
3.56,1.95,
5.53,4.41,
6.66,5.82,
9.9,9.87,
8.87,8.59,
4.03,2.54,
2.05,0.06,
7.17,6.46,
9.49,9.36,
3.79,2.24,
6.57,5.71,
9.05,8.81,
9.83,9.78,
3.05,1.31,
3.8,2.25,
7.56,6.95,
9.76,9.7,
4.71,3.38,
2.83,1.03,
2.35,0.43,
5.98,4.97,
9.84,9.8,
3.49,1.86,
9.74,9.67,
9.79,9.73,
7.79,7.23,
3.08,1.35,
3.99,2.48,
5.59,4.49,
6.87,6.09,
3.56,1.95,
3.94,2.42,
7.04,6.3,
5.05,3.81,
6.39,5.48,
6.49,5.61,
5.42,4.27,
6.77,5.96,
5.55,4.43,
9.17,8.96,
9.39,9.23,
2.27,0.34,
6.95,6.19,
7.98,7.47,
8.99,8.74,
8.19,7.74,
7.74,7.17,
9.24,9.05,
6.67,5.84,
2.73,0.91,
8.78,8.47,
4.15,2.68,
4.28,2.85,
7.99,7.49,
3.54,1.92,
6.22,5.27,
8.71,8.38,
4.23,2.78,
4.63,3.29,
9.2,9,
7.55,6.93,
9.91,9.88,
4.7,3.37,
8.15,7.69,
3.4,1.75,
5.55,4.44,
7.85,7.31,
5.95,4.93,
2.61,0.76,
9.94,9.92,
9.82,9.77,
5.2,4,
9.55,9.44,
9.55,9.43,
5.9,4.87,
6.27,5.33,
4.47,3.09,
2.47,0.59,
2.7,0.87,
3.82,2.27,
8.59,8.24,
9.86,9.82,
3.18,1.47,
3.03,1.28,
8.44,8.05,
4.24,2.8,
3.25,1.56,
6.98,6.22,
7.87,7.34,
2.45,0.56,
7.67,7.09,
2.63,0.79,
9.26,9.07,
5.23,4.04,
8.02,7.52,
8.86,8.57,
7.15,6.44,
2.47,0.58,
5.23,4.03,
8.69,8.36,
6.33,5.41,
5.12,3.9,
9.09,8.86,
2.71,0.89,
6.54,5.67,
6.45,5.56,
8.09,7.61,
9.47,9.34,
6.4,5.5,
9.52,9.4,
2.49,0.61,
3.88,2.35,
